Author Name,Post Date,Post Link,Other Hashtags,Repost Count,Impression Count,Like Count
水平線,2025-11-19 10:41:57,https://x.com/suiheisen_HR/status/1991094587788816885,"#逆水寒, #PR, #swordofjustice, #切り抜き, #mmorpg, #vtuber",0,128,0
メアリ🎀🧸,2025-11-19 10:30:27,https://x.com/MarySweetDream/status/1991091693295419443,"#PR, #逆水寒",0,982,5
Predator Gaming JPN🧸@AcerPlayMaster,2025-11-20 15:00:02,https://x.com/PredatorJPN/status/1991521927937360040,,19,2362866,104
いか☂️🍖,2025-11-19 10:23:49,https://x.com/m9oFqP4xEbHaV0k/status/1991090024834560482,"#時雨ミト, #逆水寒",0,116,6
小桃ちび🍼🧸🍮天才BABY VTuber,2025-11-19 10:16:10,https://x.com/SatoBear_/status/1991088100878246398,"#逆水寒, #PR",0,248,3
メルエオラ@漢気VTuber,2025-11-19 10:14:56,https://x.com/meruaora/status/1991087789161521430,"#PR, #逆水寒",0,176,3
メアリ🎀🧸,2025-11-19 10:13:52,https://x.com/MarySweetDream/status/1991087523968553128,"#PR, #逆水寒",0,295,9
みるきぃ/Milky_Vtuber🌟🐾個人勢 専属 ヒカセン,2025-11-19 10:12:36,https://x.com/MilkyVtuber/status/1991087204911690234,"#PR, #逆水寒",4,682,7
酔仙しいら@vtuber🦊🍵🌸,2025-11-19 10:12:19,https://x.com/siira1227/status/1991087130924187685,"#PR, #逆水寒",0,143,1
白河ノさくら🌸⛩️九尾でかみさま,2025-11-19 10:00:59,https://x.com/sacura0610/status/1991084279179125154,"#逆水寒, #PR",0,239,6
メルエオラ@漢気VTuber,2025-11-19 09:10:38,https://x.com/meruaora/status/1991071607649980849,"#逆水寒, #PR",1,215,4
モビリティリゾートもてぎ公式,2025-10-27 10:31:41,https://x.com/motegi_official/status/1982757083541078024,,32,2983502,377
岸寝ふぉか🦭🌙,2025-11-19 09:18:49,https://x.com/phocakishine/status/1991073668026319285,"#逆水寒, #PR, #ふぉっち",1,360,5
望心詩,2025-11-19 09:39:23,https://x.com/mikoshi24/status/1991078841880629481,"#逆水寒, #PR",2,514,12
kazuma💜🌸,2025-11-19 09:05:01,https://x.com/kazuma88862048/status/1991070196681871620,"#逆水寒, #Ｖストリームフェス",1,302,3
勿忘草幽冥✿👻幽霊人形Vtuber,2025-11-19 09:02:00,https://x.com/yume_GhostDoll/status/1991069435235622943,"#PR, #逆水寒",4,183,11
推使みゅな❕️💸 誕生日グッズ ˊ˗,2025-11-19 09:00:23,https://x.com/OshitsukaMyuna/status/1991069029075697890,"#推使みゅな, #逆水寒, #SwordofJustice, #PR, #shorts",8,415,17
琴雅Vtuber😈😼諸悪のポン源,2025-11-19 08:52:24,https://x.com/Kotoa_ma/status/1991067019098161650,"#PR, #逆水寒",1,451,12
神田さきと🌸💄Sakito Kanda,2025-11-19 08:49:01,https://x.com/Sakito_Kanda/status/1991066170103931084,"#PR, #逆水寒, #かんだの逆水寒日記",1,399,3
特上あどれちゃん🎀︎︎☁,2025-11-19 08:47:33,https://x.com/A_dore_u/status/1991065800652767550,"#PR, #逆水寒",2,721,11
野良猫軍団,2025-11-19 08:46:03,https://x.com/norasironekogun/status/1991065422674985081,"#逆水寒, #PR",0,111,0
特上あどれちゃん🎀︎︎☁,2025-11-19 08:44:56,https://x.com/A_dore_u/status/1991065141031379327,"#逆水寒, #PR",3,1226,20
【公式】マイナビIT AGENT,2025-11-06 00:35:25,https://x.com/mynavi_it_agent/status/1986230908387832138,,0,150404,17
リア@VTuber 🎧A.I.VOICE RIA2好評発売中！！,2025-11-19 08:24:17,https://x.com/riachan_nel/status/1991059945979072614,"#PR, #逆水寒",19,770,45
柚月レイ🌙⚔,2025-11-19 08:18:21,https://x.com/rei_yuduki/status/1991058451871711432,"#PR, #逆水寒",2,415,11
北条なぎさ💚❌🪽Vtuber,2025-11-19 08:06:06,https://x.com/nagisa_H0202/status/1991055370136268851,"#PR, #逆水寒, #Ｖストリームフェス",2,1290,14
たまﾁｬﾝ🐈‍⬛🏵新人VTuber,2025-11-19 08:04:13,https://x.com/tama_00x00/status/1991054893923308008,"#PR, #逆水寒",2,521,12
Kurashiru Rewards クラシルリワード【公式】,2025-11-18 04:14:44,https://x.com/kurashiru_r/status/1990634754144940149,,0,186819,30
勿忘草幽冥✿👻幽霊人形Vtuber,2025-11-19 07:56:11,https://x.com/yume_GhostDoll/status/1991052872201703456,"#PR, #逆水寒",4,584,8
黒須ソフィア/Sophia Cross✡️♐️ CF実施中！現在8%💙,2025-11-19 07:37:38,https://x.com/cross_sophia_/status/1991048203521933497,"#逆水寒, #完全初見",0,281,6
黒須ソフィア/Sophia Cross✡️♐️ CF実施中！現在8%💙,2025-11-19 07:37:21,https://x.com/cross_sophia_/status/1991048131535044837,"#逆水寒, #PR",4,1020,26
たちばな おもち🐈新人Vtuber✨️猫と人型,2025-11-19 07:36:13,https://x.com/tachibana_omc/status/1991047849816256692,"#逆水寒, #pr",0,344,2
たちばな おもち🐈新人Vtuber✨️猫と人型,2025-11-19 07:36:13,https://x.com/tachibana_omc/status/1991047847777874141,"#逆水寒, #pr",2,618,11
五十海 夕鶴⚓️🌟💎@ヒカセン漂泊者バーチャルショタVtuber,2025-11-19 07:36:12,https://x.com/ikarumi_yuzuru/status/1991047844690866419,"#PR, #逆水寒",0,243,10
そらねなご＠男の娘Vtuber,2025-11-19 07:29:32,https://x.com/sorane_nago/status/1991046166159786008,"#PR, #逆水寒",6,2032,16
未来ちるか🪩💫Vtuber,2025-11-19 07:03:50,https://x.com/_Chiruca_/status/1991039697473401302,"#PR, #逆水寒",3,393,17
姫咲 ねる。@新人VTuber,2025-11-19 06:59:14,https://x.com/neru_nelu_/status/1991038540663435757,"#PR, #逆水寒",9,1174,44
たちばな おもち🐈新人Vtuber✨️猫と人型,2025-11-19 06:26:29,https://x.com/tachibana_omc/status/1991030298835124533,"#PR, #逆水寒",0,387,10
推使みゅな❕️💸 誕生日グッズ ˊ˗,2025-11-19 06:20:24,https://x.com/OshitsukaMyuna/status/1991028766290948301,"#逆水寒, #PR",6,420,13
あまねもも🍑🍡.゜新作オリジナルMV公開,2025-11-19 06:20:00,https://x.com/MomoAmane/status/1991028667049521587,"#PR, #逆水寒",63,7064,124
色魔夢玖😈💘🐝,2025-11-19 06:05:15,https://x.com/Shikima_muku/status/1991024955975479746,"#PR, #逆水寒",2,267,3
紫吹まゆ🎼❄ハーモニカVtuber❄12/7初現地ワンマン&ファンミ,2025-11-19 05:55:05,https://x.com/shibukimayu/status/1991022396657340545,"#PR, #逆水寒",6,793,19
雨宮あゆね❤🎀️🐈,2025-11-19 05:41:51,https://x.com/Ayune_amemiya/status/1991019067319398569,"#逆水寒, #pr",2,588,16
赤石グラナ💎🪦年内1万人目標VTuber,2025-11-19 05:39:29,https://x.com/Grana_ikigai/status/1991018472986587513,"#PR, #逆水寒",3,337,9
りこ🍓🌸🐾@新人Vtuber♡3.5周年グッズ発売中！,2025-11-19 05:04:32,https://x.com/rikoriko_p/status/1991009674024694048,"#PR, #逆水寒, #逆水寒",0,213,4
三日月慈雨vtuber🌙☔️,2025-11-19 04:56:58,https://x.com/jiu_moon/status/1991007770028748972,#PR,0,115,6
剣城まひる🩹🐥のどが貧弱,2025-11-19 04:55:11,https://x.com/turugi_mahiru/status/1991007322941133272,"#PR, #逆水寒",2,305,3
愛音クレナ/ Aio Kurena ⛓️💔,2025-11-19 04:52:48,https://x.com/aiokurena/status/1991006721129787825,"#PR, #逆水寒",1,455,6
雨宮あゆね❤🎀️🐈,2025-11-19 04:18:23,https://x.com/Ayune_amemiya/status/1990998063624909148,"#逆水寒, #PR",2,487,13
シノ篠宮@冒険家Vtuber ▷▶ チャンネル登録者数『5000人』突破！！,2025-11-19 03:58:34,https://x.com/sinosinomiya_v/status/1990993076370735468,"#逆水寒, #PR",3,789,3
小彩みれは💜🌸,2025-11-19 03:04:22,https://x.com/sasa_mireha/status/1990979434875437096,"#PR, #逆水寒",3,2671,11
まなめお🍣🐾🍵manameo,2025-11-19 03:01:26,https://x.com/manameo_game/status/1990978697835450423,"#逆水寒, #PR",0,206,11
三日月慈雨vtuber🌙☔️,2025-11-19 03:00:03,https://x.com/jiu_moon/status/1990978348588085721,"#PR, #逆水寒",0,367,7
神凪てと🎭🎨宅録声優Vtuber,2025-11-19 03:00:01,https://x.com/tetorateto17/status/1990978338693804447,"#PR, #逆水寒",9,472,22
推使みゅな❕️💸 誕生日グッズ ˊ˗,2025-11-19 02:40:34,https://x.com/OshitsukaMyuna/status/1990973445421908013,"#逆水寒, #PR",6,1163,15
未来ちるか🪩💫Vtuber,2025-11-19 01:46:29,https://x.com/_Chiruca_/status/1990959836297900175,"#PR, #逆水寒, #JusticeOnline",5,473,14
推使みゅな❕️💸 誕生日グッズ ˊ˗,2025-11-19 01:09:18,https://x.com/OshitsukaMyuna/status/1990950478960849319,"#逆水寒, #PR",3,283,19
おいもパイちゃん🍠🥧,2025-11-19 01:01:33,https://x.com/oimopiechan/status/1990948524813660607,"#PR, #逆水寒",2,476,18
戌杜リアン🐾🏡 VTuber,2025-11-18 23:58:47,https://x.com/Lian_Inumori/status/1990932731434578288,"#逆水寒, #PR",3,474,15
先斗なるみ💋🐾໊ VTuber,2025-11-18 23:45:17,https://x.com/narumi_ponto/status/1990929332446113932,"#逆水寒, #PR, #おはようVtuber",2,229,6
